sample_ID,filetype,filename,path,data_type,production,coverage,deepconsensus_coverage,deepconsensus_filename,deepconsensus_path,ccs_algorithm,DeepConsensus_version,study,title,accession,bioproject_accession,biosample_accession,design_description,notes,generator_contact,generator_facility,library_ID,library_strategy,library_source,library_selection,library_layout,shear_method,size_selection,platform,instrument_model,seq_plate_chemistry_version,polymerase_version,total_reads,total_bp,total_Gbp,mean,min,max,N25,N50,N75,quartile_25,quartile_50,quartile_75,ntsm_score,MM_tag,primrose_filename,check,delta
HG00140,bam,m64043_220728_173215-bc1018.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_HiFi/m64043_220728_173215-bc1018.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,3.3,3.66,HG00140.m64043_220728_173215.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00140/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00140.m64043_220728_173215.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732295,PRJNA701308,SAMN33621941,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG00140_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,517275,10233445025,10.23,19783,51.0,53341.0,18131,19724,21738,17853,19373,21259,,True,,True,33
HG00323,bam,m64136_220708_205611-bc1016.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m64136_220708_205611-bc1016.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,10.8,11.82,HG00323.m64136_220708_205611.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00323/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00323.m64136_220708_205611.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732294,PRJNA701308,SAMN33621942,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG00323_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1744844,33478490857,33.48,19187,61.0,61839.0,16743,19365,22473,16250,18478,21546,,True,,True,34
HG00408,bam,m64136_211114_164241-bc1002.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG00408/raw_data/PacBio_HiFi/m64136_211114_164241-bc1002.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,12.5,14.6,HG00408.m64136_211114_164241.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00408/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00408.m64136_211114_164241.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732283,PRJNA701308,SAMN33621943,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG00408_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,2018757,38730219265,38.73,19185,139.0,53377.0,16770,18510,22318,16486,17935,20910,,True,,True,34
HG00597,bam,m64043_211210_180342-bc1021.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG00597/raw_data/PacBio_HiFi/m64043_211210_180342-bc1021.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,11.0,13.15,HG00597.m64043_211210_180342.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00597/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00597.m64043_211210_180342.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732280,PRJNA701308,SAMN33621944,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG00597_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1621355,34138087985,34.14,21055,406.0,56238.0,19270,20815,22972,19061,20477,22470,,True,,True,32
HG01261,bam,m64043_211222_184851-bc1001.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG01261/raw_data/PacBio_HiFi/m64043_211222_184851-bc1001.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,4.5,5.18,HG01261.m64043_211222_184851.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG01261/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01261.m64043_211222_184851.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732278,PRJNA701308,SAMN33621946,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01261_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,664050,13944839852,13.94,20999,718.0,67189.0,18369,20229,24356,18072,19630,22593,,True,,True,34
HG01975,bam,m64043_211113_003158-bc1003.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG01975/raw_data/PacBio_HiFi/m64043_211113_003158-bc1003.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,12.1,13.52,HG01975.m64043_211113_003158.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG01975/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01975.m64043_211113_003158.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732277,PRJNA701308,SAMN33621947,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01975_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1897742,37414972875,37.41,19715,230.0,58778.0,17823,19259,21526,17636,18916,20851,,True,,True,34
HG02015,bam,m64043_210903_163032-bc1022.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02015/raw_data/PacBio_HiFi/m64043_210903_163032-bc1022.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,24.2,14.3,HG02015.m64043_210903_163032.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG02015/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02015.m64043_210903_163032.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732276,PRJNA701308,SAMN33621948,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG02015_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,3865204,75027463744,75.03,19410,51.0,388970.0,16688,19402,23437,16061,17931,21538,,True,,True,29
HG02056,bam,m64136_211121_153454-bc1009.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02056/raw_data/PacBio_HiFi/m64136_211121_153454-bc1009.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,9.2,11.25,HG02056.m64136_211121_153454.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG02056/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02056.m64136_211121_153454.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732275,PRJNA701308,SAMN33621949,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG02056_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1434407,28490874747,28.49,19862,199.0,55264.0,18090,19721,22333,17760,19254,21430,,True,,True,34
HG02129,bam,m64136_220424_050632-bc1001.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02129/raw_data/PacBio_HiFi/m64136_220424_050632-bc1001.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,10.3,11.91,HG02129.m64136_220424_050632.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG02129/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02129.m64136_220424_050632.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732274,PRJNA701308,SAMN33621950,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG02129_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1668439,32061676319,32.06,19216,95.0,56783.0,16979,19358,21704,16330,18825,20955,,True,,True,30
HG02155,bam,m64043_220728_173215-bc1012.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02155/raw_data/PacBio_HiFi/m64043_220728_173215-bc1012.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,3.9,4.35,HG00140.m64043_220728_173215.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG02155/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02155.m64043_220728_173215.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732293,PRJNA701308,SAMN33621951,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG02155_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,605059,12121610916,12.12,20033,61.0,55945.0,17476,19953,23518,17036,19069,22395,,True,,True,34
HG02258,bam,m64043_211217_180919-bc1011.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02258/raw_data/PacBio_HiFi/m64043_211217_180919-bc1011.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,9.8,11.99,HG02258.m64043_211217_180919.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG02258/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02258.m64043_211217_180919.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732292,PRJNA701308,SAMN33621952,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG02258_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1471798,30383642106,30.38,20643,61.0,53399.0,18946,20502,22571,18701,20169,22088,,True,,True,34
HG02273,bam,m64043_220429_171542-bc1002.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02273/raw_data/PacBio_HiFi/m64043_220429_171542-bc1002.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,12.3,14.09,HG02273.m64043_220429_171542.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG02273/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02273.m64043_220429_171542.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732291,PRJNA701308,SAMN33621953,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG02273_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1848889,38026194906,38.03,20567,139.0,58982.0,17731,20899,23890,17280,20013,22954,,True,,True,34
HG02965,bam,m64043_220715_182700-bc1017.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02965/raw_data/PacBio_HiFi/m64043_220715_182700-bc1017.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,11.5,12.54,HG02965.m64043_220715_182700.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG02965/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02965.m64043_220715_182700.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732290,PRJNA701308,SAMN33621954,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG02965_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1698253,35646111219,35.65,20989,61.0,73722.0,18203,20521,24916,17769,19678,23131,,True,,True,34
HG02976,bam,m64043_220621_134351-bc1009.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02976/raw_data/PacBio_HiFi/m64043_220621_134351-bc1009.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,8.1,9.07,HG02976.m64043_220621_134351.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG02976/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02976.m64043_220621_134351.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732289,PRJNA701308,SAMN33621955,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG02976_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1258651,25120924503,25.12,19958,214.0,54707.0,18311,19886,21906,18038,19542,21427,,True,,True,34
HG03195,bam,m64136_220617_195203-bc1010.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03195/raw_data/PacBio_HiFi/m64136_220617_195203-bc1010.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,12.4,13.76,HG03195.m64136_220617_195203.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG03195/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03195.m64136_220617_195203.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732288,PRJNA701308,SAMN33621956,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG03195_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1851955,38391026616,38.39,20729,54.0,68687.0,17921,20557,24463,17481,19529,23196,,True,,True,33
HG03225,bam,m64043_220516_150157-bc1008.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03225/raw_data/PacBio_HiFi/m64043_220516_150157-bc1008.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,9.2,,,,6.0.0,,SRP305758,,SRR23732287,PRJNA701308,SAMN33621957,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG03225_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1344981,28643913675,28.64,21296,83.0,56783.0,19029,21243,24403,18584,20581,23437,,True,,True,34
HG03834,bam,m64043_220107_191226-bc1012.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03834/raw_data/PacBio_HiFi/m64043_220107_191226-bc1012.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,12.3,14.27,HG03834.m64043_220107_191226.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG03834/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03834.m64043_220107_191226.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732286,PRJNA701308,SAMN33621958,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG03834_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1829039,38210943876,38.21,20891,123.0,62493.0,19092,20668,22878,18853,20313,22331,,True,,True,34
NA18971,bam,m64043_220703_150718-bc1011.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/NA18971/raw_data/PacBio_HiFi/m64043_220703_150718-bc1011.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,10.3,12.1,NA18971.m64043_220703_150718.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/NA18971/raw_data/PacBio_HiFi/deepconsensus/v1pt2/NA18971.m64043_220703_150718.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732282,PRJNA701308,SAMN33621961,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,NA18971_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1539349,31815106412,31.82,20667,62.0,65993.0,18541,20882,23733,17974,20210,22885,,True,,True,35
NA20805,bam,m64136_220726_203708-bc1020.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/NA20805/raw_data/PacBio_HiFi/m64136_220726_203708-bc1020.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,12.2,14.02,NA20805.m64136_220726_203708.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/NA20805/raw_data/PacBio_HiFi/deepconsensus/v1pt2/NA20805.m64136_220726_203708.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732281,PRJNA701308,SAMN33621962,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,NA20805_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1837659,37967752313,37.97,20660,133.0,66827.0,19189,20755,22563,18923,20455,22209,,True,,True,34
HG00140,bam,m64136_220719_122056-bc1018.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_HiFi/m64136_220719_122056-bc1018.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,10.9,12.63,HG00140.m64136_220719_122056.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00140/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00140.m64136_220719_122056.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732295,PRJNA701308,SAMN33621941,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG00140_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1547133,33866031514,33.87,21889,137.0,73370.0,19047,21631,25828,18518,20699,24213,,True,,True,34
HG00323,bam,m64136_220712_144943-bc1016.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m64136_220712_144943-bc1016.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,11.2,12.3,HG00323.m64136_220712_144943.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00323/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00323.m64136_220712_144943.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732294,PRJNA701308,SAMN33621942,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG00323_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1813262,34715893912,34.72,19145,61.0,59292.0,16716,19311,22414,16227,18433,21488,,True,,True,34
HG00408,bam,m64136_211111_194404-bc1002.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG00408/raw_data/PacBio_HiFi/m64136_211111_194404-bc1002.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,12.4,14.46,HG00408.m64136_211111_194404.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00408/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00408.m64136_211111_194404.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732283,PRJNA701308,SAMN33621943,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG00408_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,2002652,38355055565,38.36,19152,81.0,58108.0,16758,18490,22251,16477,17924,20859,,True,,True,34
HG00597,bam,m64043_211213_155654-bc1021.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG00597/raw_data/PacBio_HiFi/m64043_211213_155654-bc1021.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,10.6,12.94,HG00597.m64043_211213_155654.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00597/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00597.m64043_211213_155654.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732280,PRJNA701308,SAMN33621944,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG00597_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1557646,32720246548,32.72,21006,61.0,54955.0,19247,20774,22899,19041,20445,22411,,True,,True,33
HG01261,bam,m64136_211108_160613-bc1001.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG01261/raw_data/PacBio_HiFi/m64136_211108_160613-bc1001.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,10.5,12.55,HG01261.m64136_211108_160613.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG01261/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01261.m64136_211108_160613.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732278,PRJNA701308,SAMN33621946,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01261_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1544394,32544026126,32.54,21072,204.0,65223.0,18429,20313,24465,18129,19707,22728,,True,,True,34
HG01975,bam,m64043_211114_112934-bc1003.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG01975/raw_data/PacBio_HiFi/m64043_211114_112934-bc1003.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,11.7,13.0,HG01975.m64043_211114_112934.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG01975/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01975.m64043_211114_112934.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732277,PRJNA701308,SAMN33621947,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01975_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1841180,36273475358,36.27,19701,142.0,61049.0,17814,19250,21498,17627,18908,20835,,True,,True,34
HG02056,bam,m64043_220114_181052-bc1009.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02056/raw_data/PacBio_HiFi/m64043_220114_181052-bc1009.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,9.4,10.49,HG02056.m64043_220114_181052.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG02056/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02056.m64043_220114_181052.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732275,PRJNA701308,SAMN33621949,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG02056_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1407236,29056368441,29.06,20647,276.0,62255.0,18454,20670,24438,17986,19880,23140,,True,,True,34
HG02129,bam,m64136_220426_155627-bc1001.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02129/raw_data/PacBio_HiFi/m64136_220426_155627-bc1001.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,13.5,15.01,HG02129.m64136_220426_155627.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG02129/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02129.m64136_220426_155627.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732274,PRJNA701308,SAMN33621950,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG02129_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,2179533,42004596679,42.0,19272,61.0,61990.0,17036,19403,21791,16361,18861,21022,,True,,True,33
HG02155,bam,m64136_220705_120453-bc1012.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02155/raw_data/PacBio_HiFi/m64136_220705_120453-bc1012.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,10.2,11.3,HG02155.m64136_220705_120453.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG02155/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02155.m64136_220705_120453.dc.q20.fastq.gz,6.0.0,,SRP305758,,SRR23732293,PRJNA701308,SAMN33621951,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG02155_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1599995,31584932406,31.58,19740,219.0,64074.0,17269,19476,23090,16881,18713,21906,,True,,True,32
