sample_id,filetype,filename,path,data_type,production,coverage,deepconsensus_coverage,deepconsensus_filename,deepconsensus_path,ccs_algorithm,basecaller,basecaller_version,study,accession,bioproject_accession,biosample_accession,design_description,notes,generator_contact,generator_facility,library_id,library_strategy,library_source,library_selection,library_layout,shear_method,size_selection,platform,instrument_model,seq_plate_chemistry_version,polymerase_version,total_reads,total_bp,total_gbp,mean,min,max,n25,n50,n75,quartile_25,quartile_50,quartile_75,ntsm_score,mm_tag,primrose_filename,mm_review,mm_remove,lima_version,lima_float_version
HG01106,bam,m64043_200627_000137.ccs.bam,s3://human-pangenomics/working/HPRC/HG01106/raw_data/PacBio_HiFi/m64043_200627_000137.ccs.bam,unaligned reads,WUSTL_HPRC_HiFi_Year1,11.1,13.11,HG01106.m64043_200627_000137.dc.q20.fastq.gz,s3://human-pangenomics/submissions/3A25CF8A-1F36-42EE-BC9F-D29CECAA2A99--HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20/HG01106/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01106.m64043_200627_000137.dc.q20.fastq.gz,8.0.0,ccs,8.0.0,SRP305758,SRR13684378,PRJNA701308,SAMN17861658,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01106_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,,,1541756,34465266970,34.47,22354,47,48433,20403,22211,24706,20117,21789,24100,,FALSE,,FALSE,FALSE,,
HG01106,bam,m64043_200625_174853.ccs.bam,s3://human-pangenomics/working/HPRC/HG01106/raw_data/PacBio_HiFi/m64043_200625_174853.ccs.bam,unaligned reads,WUSTL_HPRC_HiFi_Year1,12.3,14.76,HG01106.m64043_200625_174853.dc.q20.fastq.gz,s3://human-pangenomics/submissions/3A25CF8A-1F36-42EE-BC9F-D29CECAA2A99--HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20/HG01106/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01106.m64043_200625_174853.dc.q20.fastq.gz,8.0.0,ccs,8.0.0,SRP305758,SRR13684378,PRJNA701308,SAMN17861658,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01106_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,,,1706917,38034918237,38.03,22282,48,50120,20354,22145,24608,20072,21734,24014,,FALSE,,FALSE,FALSE,,
HG01123,bam,m54329U_200206_215926.ccs.bam,s3://human-pangenomics/working/HPRC/HG01123/raw_data/PacBio_HiFi/m54329U_200206_215926.ccs.bam,unaligned reads,UW_HPRC_HiFi_Y1,10.9,12.54,HG01123.m54329U_200206_215926.dc.q20.fastq.gz,s3://human-pangenomics/submissions/3A25CF8A-1F36-42EE-BC9F-D29CECAA2A99--HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20/HG01123/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01123.m54329U_200206_215926.dc.q20.fastq.gz,4.0.0,ccs,4.0.0,SRP305758,SRR13684290,PRJNA701308,SAMN17861232,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,HG01123_HiFiEx_f2,WGS,GENOMIC,size fractionation,single,g-TUBE,SageELF,PACBIO_SMRT,Sequel II,C2,P2,2004290,33874608465,33.87,16901,46,48534,15493,17025,18773,15194,16680,18370,,FALSE,,FALSE,FALSE,,
HG01123,bam,m54329U_200205_002609.ccs.bam,s3://human-pangenomics/working/HPRC/HG01123/raw_data/PacBio_HiFi/m54329U_200205_002609.ccs.bam,unaligned reads,UW_HPRC_HiFi_Y1,7.7,9.53,HG01123.m54329U_200205_002609.dc.q20.fastq.gz,s3://human-pangenomics/submissions/3A25CF8A-1F36-42EE-BC9F-D29CECAA2A99--HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20/HG01123/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01123.m54329U_200205_002609.dc.q20.fastq.gz,4.0.0,ccs,4.0.0,SRP305758,SRR13684290,PRJNA701308,SAMN17861232,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,HG01123_HiFiEx_f2,WGS,GENOMIC,size fractionation,single,g-TUBE,SageELF,PACBIO_SMRT,Sequel II,C2,P2,1449219,23974829242,23.97,16543,47,40793,15199,16694,18397,14898,16353,18007,,FALSE,,FALSE,FALSE,,
HG01123,bam,m54329U_200203_181235.ccs.bam,s3://human-pangenomics/working/HPRC/HG01123/raw_data/PacBio_HiFi/m54329U_200203_181235.ccs.bam,unaligned reads,UW_HPRC_HiFi_Y1,8.7,10.57,HG01123.m54329U_200203_181235.dc.q20.fastq.gz,s3://human-pangenomics/submissions/3A25CF8A-1F36-42EE-BC9F-D29CECAA2A99--HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20/HG01123/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01123.m54329U_200203_181235.dc.q20.fastq.gz,4.0.0,ccs,4.0.0,SRP305758,SRR13684290,PRJNA701308,SAMN17861232,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,HG01123_HiFiEx_f2,WGS,GENOMIC,size fractionation,single,g-TUBE,SageELF,PACBIO_SMRT,Sequel II,C2,P2,1629549,27013827793,27.01,16577,45,39876,15223,16722,18436,14919,16380,18039,,FALSE,,FALSE,FALSE,,
HG01123,bam,m54329U_200201_051510.ccs.bam,s3://human-pangenomics/working/HPRC/HG01123/raw_data/PacBio_HiFi/m54329U_200201_051510.ccs.bam,unaligned reads,UW_HPRC_HiFi_Y1,11.1,13,HG01123.m54329U_200201_051510.dc.q20.fastq.gz,s3://human-pangenomics/submissions/3A25CF8A-1F36-42EE-BC9F-D29CECAA2A99--HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20/HG01123/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01123.m54329U_200201_051510.dc.q20.fastq.gz,4.0.0,ccs,4.0.0,SRP305758,SRR13684290,PRJNA701308,SAMN17861232,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,HG01123_HiFiEx_f2,WGS,GENOMIC,size fractionation,single,g-TUBE,SageELF,PACBIO_SMRT,Sequel II,C2,P2,2072143,34554070679,34.55,16675,46,43126,15294,16821,18566,14984,16468,18160,,FALSE,,FALSE,FALSE,,
HG01123,bam,m84046_231202_090949_s3.hifi_reads.bc2055.bam,s3://human-pangenomics/working/HPRC/HG01123/raw_data/PacBio_HiFi/m84046_231202_090949_s3.hifi_reads.bc2055.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,14.5,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,SRR29483114,PRJNA701308,SAMN17861232,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,HG01123.HFSS3_m84046_231202_090949_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,2086408,45092269241,45.09,21612,106,60699,18721,21753,25731,18022,20671,24294,0.525142,TRUE,,TRUE,FALSE,2.9.0,2.09
HG01123,bam,m84046_230724_203319_s4.hifi_reads.bc2055.bam,s3://human-pangenomics/working/HPRC/HG01123/raw_data/PacBio_HiFi/m84046_230724_203319_s4.hifi_reads.bc2055.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,11.8,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483115,PRJNA701308,SAMN17861232,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,HG01123.HFSS2_m84046_230724_203319_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,2644354,36561691313,36.56,13826,158,47325,12065,13705,16221,11740,13113,15274,0.532305,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG01150,bam,m64334e_220412_183749.demultiplex.bc1015--bc1015.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG01150/raw_data/PacBio_HiFi/primrose/m64334e_220412_183749.demultiplex.bc1015--bc1015.5mc.hifi_reads.bam,unaligned reads,RU_Y3,3.1,3.47,HG01150.m64334e_220412_183749.dc.q20.fastq.gz,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG01150/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01150.m64334e_220412_183749.dc.q20.fastq.gz,6.0.0,ccs,6.0.0,SRP305758,SRR30151936,PRJNA701308,SAMN37797097,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG01150_PB1_m64334e_220412_183749_m64334e_220412_183749,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Sequel II,C2,P2,532298,9693198556,9.69,18210,785,56437,15476,18801,22940,14398,17328,21106,,TRUE,,TRUE,TRUE,2.1.0,2.01
HG01150,bam,m64334e_220306_054934.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG01150/raw_data/PacBio_HiFi/primrose/m64334e_220306_054934.5mc.hifi_reads.bam,unaligned reads,RU_Y3,10.4,11.36,HG01150.m64334e_220306_054934.dc.q20.fastq.gz,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG01150/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01150.m64334e_220306_054934.dc.q20.fastq.gz,6.0.0,ccs,6.0.0,SRP305758,SRR30151916,PRJNA701308,SAMN37797097,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG01150_PB1_m64334e_220306_054934_m64334e_220306_054934,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Sequel II,C2,P2,1762889,32272473361,32.27,18306,79,64797,15574,18928,23149,14448,17415,21235,,TRUE,,FALSE,FALSE,,
HG01150,bam,m64330e_220314_040416.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG01150/raw_data/PacBio_HiFi/primrose/m64330e_220314_040416.5mc.hifi_reads.bam,unaligned reads,RU_Y3,10,11.64,HG01150.m64330e_220314_040416.dc.q20.fastq.gz,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG01150/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01150.m64330e_220314_040416.dc.q20.fastq.gz,6.0.0,ccs,6.0.0,SRP305758,SRR30151917,PRJNA701308,SAMN37797097,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG01150_PB1_m64330e_220314_040416_m64330e_220314_040416,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Sequel II,C2,P2,1673110,30983320047,30.98,18518,70,60687,15732,19188,23536,14558,17608,21543,,TRUE,,FALSE,FALSE,,
HG01150,bam,m64330e_220312_183407.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG01150/raw_data/PacBio_HiFi/primrose/m64330e_220312_183407.5mc.hifi_reads.bam,unaligned reads,RU_Y3,10.8,11.98,HG01150.m64330e_220312_183407.dc.q20.fastq.gz,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG01150/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01150.m64330e_220312_183407.dc.q20.fastq.gz,6.0.0,ccs,6.0.0,SRP305758,SRR30152002,PRJNA701308,SAMN37797097,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG01150_PB1_m64330e_220312_183407_m64330e_220312_183407,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Sequel II,C2,P2,1787204,33479741334,33.48,18733,89,64946,15905,19420,23852,14701,17803,21821,,TRUE,,FALSE,FALSE,,
HG01150,bam,m54306Ue_220402_052301.demultiplex.bc1015--bc1015.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG01150/raw_data/PacBio_HiFi/primrose/m54306Ue_220402_052301.demultiplex.bc1015--bc1015.5mc.hifi_reads.bam,unaligned reads,RU_Y3,2.4,2.65,HG01150.m54306Ue_220402_052301.dc.q20.fastq.gz,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG01150/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01150.m54306Ue_220402_052301.dc.q20.fastq.gz,6.0.0,ccs,6.0.0,SRP305758,SRR30151915,PRJNA701308,SAMN37797097,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG01150_PB1_m54306Ue_220402_052301_m54306Ue_220402_052301,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Sequel II,C2,P2,420036,7580552350,7.58,18047,82,56471,15385,18565,22532,14369,17200,20806,,TRUE,,TRUE,TRUE,2.1.0,2.01
HG01150,bam,m84091_231004_192043_s3.hifi_reads.bc1019.bam,s3://human-pangenomics/working/HPRC/HG01150/raw_data/PacBio_HiFi/m84091_231004_192043_s3.hifi_reads.bc1019.bam,unaligned reads,RU_Y3_topoff_redo,2.6,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30336742,PRJNA701308,SAMN37797097,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG01150_PB3_m84091_231004_192043_s3.hifi_reads.bc1019.bam,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,410126,8167494589,8.17,19914,100,52170,17254,19985,23648,16599,19019,22271,0.648183,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG01150,bam,m84091_230905_202807_s3.hifi_reads.bc1019.bam,s3://human-pangenomics/working/HPRC/HG01150/raw_data/PacBio_HiFi/m84091_230905_202807_s3.hifi_reads.bc1019.bam,unaligned reads,RU_Y3_topoff_redo,5.3,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30336743,PRJNA701308,SAMN37797097,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG01150_PB3_m84091_230905_202807_s3.hifi_reads.bc1019.bam,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,804940,16465388808,16.47,20455,175,56054,17602,20609,24647,16854,19481,23065,0.617631,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG01150,bam,m84091_230905_195701_s2.hifi_reads.bc1019.bam,s3://human-pangenomics/working/HPRC/HG01150/raw_data/PacBio_HiFi/m84091_230905_195701_s2.hifi_reads.bc1019.bam,unaligned reads,RU_Y3_topoff_redo,5.1,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30336744,PRJNA701308,SAMN37797097,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG01150_PB3_m84091_230905_195701_s2.hifi_reads.bc1019.bam,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,778094,15710208724,15.71,20190,204,56800,17434,20325,24157,16730,19264,22692,0.614456,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG01150,bam,m84091_230905_192642_s1.hifi_reads.bc1019.bam,s3://human-pangenomics/working/HPRC/HG01150/raw_data/PacBio_HiFi/m84091_230905_192642_s1.hifi_reads.bc1019.bam,unaligned reads,RU_Y3_topoff_redo,5.4,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30336745,PRJNA701308,SAMN37797097,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG01150_PB3_m84091_230905_192642_s1.hifi_reads.bc1019.bam,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,821512,16813536710,16.81,20466,147,59777,17631,20623,24644,16875,19502,23080,0.598326,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG01167,bam,m84091_230817_153352_s4.hifi_reads.bc1012.bam,s3://human-pangenomics/working/HPRC/HG01167/raw_data/PacBio_HiFi/m84091_230817_153352_s4.hifi_reads.bc1012.bam,unaligned reads,RU_Y4,6,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29405838,PRJNA701308,SAMN41021679,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG01167_PB1_m84091_230817_153352_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,937915,18661653900,18.66,19896,325,53672,17361,19875,23415,16814,19006,22140,0.582802,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG01167,bam,m84091_230731_140439_s3.hifi_reads.bc1012.bam,s3://human-pangenomics/working/HPRC/HG01167/raw_data/PacBio_HiFi/m84091_230731_140439_s3.hifi_reads.bc1012.bam,unaligned reads,RU_Y4,22.5,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29405839,PRJNA701308,SAMN41021679,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG01167_PB1_m84091_230731_140439_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,3385191,69660229902,69.66,20577,63,61397,17829,20652,24569,17176,19633,23104,0.527574,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG01167,bam,m84091_230725_164143_s3.hifi_reads.bc1012.bam,s3://human-pangenomics/working/HPRC/HG01167/raw_data/PacBio_HiFi/m84091_230725_164143_s3.hifi_reads.bc1012.bam,unaligned reads,RU_Y4,34,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29405840,PRJNA701308,SAMN41021679,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG01167_PB1_m84091_230725_164143_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,5131466,105402106362,105.4,20540,78,70236,17779,20606,24544,17135,19573,23082,0.519142,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG01175,bam,m64043_200623_060946.ccs.bam,s3://human-pangenomics/working/HPRC/HG01175/raw_data/PacBio_HiFi/m64043_200623_060946.ccs.bam,unaligned reads,WUSTL_HPRC_HiFi_Year1,8.5,10.92,HG01175.m64043_200623_060946.dc.q20.fastq.gz,s3://human-pangenomics/submissions/3A25CF8A-1F36-42EE-BC9F-D29CECAA2A99--HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20/HG01175/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01175.m64043_200623_060946.dc.q20.fastq.gz,8.0.0,ccs,8.0.0,SRP305758,SRR13684377,PRJNA701308,SAMN17861659,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01175_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,,,1206997,26195722346,26.2,21703,45,48916,19603,21590,24349,19223,21069,23556,,FALSE,,FALSE,FALSE,,
HG01175,bam,m64043_200621_234442.ccs.bam,s3://human-pangenomics/working/HPRC/HG01175/raw_data/PacBio_HiFi/m64043_200621_234442.ccs.bam,unaligned reads,WUSTL_HPRC_HiFi_Year1,8.1,10.59,HG01175.m64043_200621_234442.dc.q20.fastq.gz,s3://human-pangenomics/submissions/3A25CF8A-1F36-42EE-BC9F-D29CECAA2A99--HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20/HG01175/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01175.m64043_200621_234442.dc.q20.fastq.gz,8.0.0,ccs,8.0.0,SRP305758,SRR13684377,PRJNA701308,SAMN17861659,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01175_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,,,1158408,25094609545,25.09,21663,46,49779,19577,21552,24299,19196,21036,23514,,FALSE,,FALSE,FALSE,,
HG01175,bam,m64043_200620_173220.ccs.bam,s3://human-pangenomics/working/HPRC/HG01175/raw_data/PacBio_HiFi/m64043_200620_173220.ccs.bam,unaligned reads,WUSTL_HPRC_HiFi_Year1,10.7,12.92,HG01175.m64043_200620_173220.dc.q20.fastq.gz,s3://human-pangenomics/submissions/3A25CF8A-1F36-42EE-BC9F-D29CECAA2A99--HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20/HG01175/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01175.m64043_200620_173220.dc.q20.fastq.gz,8.0.0,ccs,8.0.0,SRP305758,SRR13684377,PRJNA701308,SAMN17861659,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01175_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,,,1527212,33311371824,33.31,21811,45,50465,19663,21687,24539,19274,21150,23708,,FALSE,,FALSE,FALSE,,
HG01175,bam,m64043_200618_201934.ccs.bam,s3://human-pangenomics/working/HPRC/HG01175/raw_data/PacBio_HiFi/m64043_200618_201934.ccs.bam,unaligned reads,WUSTL_HPRC_HiFi_Year1,8.8,11.48,HG01175.m64043_200618_201934.dc.q20.fastq.gz,s3://human-pangenomics/submissions/3A25CF8A-1F36-42EE-BC9F-D29CECAA2A99--HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20/HG01175/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01175.m64043_200618_201934.dc.q20.fastq.gz,8.0.0,ccs,8.0.0,SRP305758,SRR13684377,PRJNA701308,SAMN17861659,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01175_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,,,1261159,27337960037,27.34,21676,45,49892,19575,21558,24328,19197,21038,23531,,FALSE,,FALSE,FALSE,,
HG01175,bam,m84081_231222_141231_s4.hifi_reads.bc2025.bam,s3://human-pangenomics/working/HPRC/HG01175/raw_data/PacBio_HiFi/m84081_231222_141231_s4.hifi_reads.bc2025.bam,unaligned reads,WUSTL_HPRC_HiFi_Year1_TopUp,4.4,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,SRR30578348,PRJNA701308,SAMN17861659,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01175_lib1_m84081_231222_141231_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,592164,13654551289,13.65,23058,164,69724,19903,23368,27976,18999,22026,26183,0.659844,TRUE,,TRUE,FALSE,2.9.0,2.09
HG01175,bam,m84081_231222_121301_s3.hifi_reads.bc2025.bam,s3://human-pangenomics/working/HPRC/HG01175/raw_data/PacBio_HiFi/m84081_231222_121301_s3.hifi_reads.bc2025.bam,unaligned reads,WUSTL_HPRC_HiFi_Year1_TopUp,4.4,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,SRR30578349,PRJNA701308,SAMN17861659,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01175_lib1_m84081_231222_121301_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,591113,13723478549,13.72,23216,190,69211,20035,23547,28181,19116,22191,26384,0.637194,TRUE,,TRUE,FALSE,2.9.0,2.09
HG01175,bam,m84081_231222_101332_s2.hifi_reads.bc2025.bam,s3://human-pangenomics/working/HPRC/HG01175/raw_data/PacBio_HiFi/m84081_231222_101332_s2.hifi_reads.bc2025.bam,unaligned reads,WUSTL_HPRC_HiFi_Year1_TopUp,4.3,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,SRR30578350,PRJNA701308,SAMN17861659,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01175_lib1_m84081_231222_101332_s2,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,581981,13428638482,13.43,23074,413,67742,19919,23381,28022,19014,22050,26220,0.62196,TRUE,,TRUE,FALSE,2.9.0,2.09
HG01175,bam,m84081_231222_081401_s1.hifi_reads.bc2025.bam,s3://human-pangenomics/working/HPRC/HG01175/raw_data/PacBio_HiFi/m84081_231222_081401_s1.hifi_reads.bc2025.bam,unaligned reads,WUSTL_HPRC_HiFi_Year1_TopUp,3.3,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,SRR30578351,PRJNA701308,SAMN17861659,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01175_lib1_m84081_231222_081401_s1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,444863,10136966828,10.14,22786,240,69025,19678,22997,27576,18835,21719,25770,0.661877,TRUE,,TRUE,FALSE,2.9.0,2.09
HG01192,bam,m64043_211127_171224.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG01192/raw_data/PacBio_HiFi/m64043_211127_171224.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,11.6,14.56,HG01192.m64043_211127_171224.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG01192/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01192.m64043_211127_171224.dc.q20.fastq.gz,6.0.0,ccs,6.0.0,SRP305758,SRR23732279,PRJNA701308,SAMN33621945,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01192_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1743655,35850177288,35.85,20560,82,52726,18438,20412,23274,18058,19858,22404,,TRUE,,FALSE,FALSE,,
HG01192,bam,m64043_211126_061537.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG01192/raw_data/PacBio_HiFi/m64043_211126_061537.5mc.hifi_reads.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3,12.2,15.02,HG01192.m64043_211126_061537.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG01192/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01192.m64043_211126_061537.dc.q20.fastq.gz,6.0.0,ccs,6.0.0,SRP305758,SRR23732279,PRJNA701308,SAMN33621945,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01192_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Sequel II,C2,P2.2,1830528,37677927562,37.68,20583,153,53478,18452,20438,23304,18074,19879,22435,,TRUE,,FALSE,FALSE,,
