2587,,,, ,,,Biomaterial Production,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,ChildID,N,Sex,Subpopulation,Superpopulation,Production Year,Pellets Status: Production,QC: Karyotyping ,QC: OMNI Microarray,Pellets Status: UL Nanopore Production,HiFi Center Information ,HiFi sample received,HiFi data generation,HiFi data  submitted to AnVIL,10X Genomics Center Information ,10X Genomics sample received,10X Genomics data generation,10X Genomics data submitted to AnVIL,BioNano Genomics Center Information,BioNano Genomics sample received,BioNano Genomics data generation,BioNano Genomics data submitted to AnVIL,Nanopore Standard Center Information,Nanopore Standard sample received,Nanopore Standard Unsheared data generation,Nanopore Standard Unsheared data submitted to AnVIL,Nanopore UL Center Information,Nanopore UL sample received,Nanopore UL data generation,Nanopore UL data submitted to AnVIL,Hi-C Center Information,Hi-C sample received,Hi-C data generation,Hi-C data submitted to AnVIL,Strand-seq Center Information,Strand-seq sample received,Strand-seq data generation,Strand-seq data  submitted to AnVIL,Kinnex Center Information,Kinnex sample received,Kinnex data generation,Kinnex data  submitted to AnVIL
73,HG00642,PR04,male,PUR,AMR,YR2,Pellets Banked (2/3/21),Completed (3/8/21),Completed (3/11/21),Pellets Banked (2/3/21),UW,4/22/21,"Topped off, Complete -- 64.7X",Complete,,,,,,,,,,,,,UCSC,5/4/21,Complete,Complete,UCSC,5/5/2021,9/15/21,,,,,,WashU,,,
74,HG01346,CLM27,female,CLM,AMR,YR2,Pellets Banked (2/3/21),Completed (3/14/21),Completed (3/11/21),Pellets Banked (2/3/21),UW,4/22/21,"Topped off, Complete -- 67.6X",Complete,,,,,,,,,,,,,UCSC,5/4/21,Complete,Complete,UCSC,5/5/2021,9/15/21,,,,,,WashU,,,
75,HG02647,GB38,male,GWD,AFR,YR2,Pellets Banked (2/3/21),Completed (3/27/21),Completed (3/11/21),Pellets Banked (2/3/21),UW,4/22/21,"Topped off, Complete -- 60.1X",Complete,,,,,,,,,,,,,UCSC,5/4/21,Complete,Complete,UCSC,5/5/2021,9/15/21,,,,,,WashU,,,
76,HG03831,BD27,female,BEB,SAS,YR2,Pellets Banked (2/3/21),Completed (3/27/21),Completed (4/12/21),Pellets Banked (2/3/21),WashU,4/22/21,Complete -- 76.3X,Complete,,,,,,,,,,,,,UCSC,5/4/21,Complete,Complete,UCSC,5/5/2021,9/15/21,,,,,,WashU,,,
77,HG01959,BB10,female,ACB,AFR,Fail Karyo,Pellets Banked (2/3/21),Completed (3/22/21),Completed (3/11/21),Pellets Banked (2/3/21),,,fail karyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,HG01993,PEL29,female,PEL,AMR,YR2,Pellets Banked (2/3/21),Completed (3/22/21),Completed (3/11/21),Pellets Banked (2/3/21),WashU,4/22/21,Complete -- 72X,Complete,,,,,,,,,,,,,UCSC,5/4/21,Complete,Complete,UCSC,5/5/2021,9/15/21,,,,,,WashU,,,
79,HG02605,PK10,female,PJL,SAS,Fail Karyo,Pellets Banked (2/3/21),Completed (3/27/21),Completed (3/11/21),Pellets Banked (2/3/21),,,fail karyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,HG01433,CLM43,male,CLM,AMR,YR2,Pellets Banked (2/3/21),Completed (3/14/21),Completed (3/11/21),Pellets Banked (2/3/21),WashU,4/22/21,Complete -- 68.0X,Complete,,,,,,,,,,,,,UCSC,5/4/21,Complete,Complete,UCSC,5/5/2021,9/15/21,,,,,,WashU,,,
81,HG04184,BD61,female,BEB,SAS,YR2,Pellets Banked (3/3/21),Completed (4/17/21),Completed (5/19/21),Pellets Banked (3/3/21),UW,6/3/21,"Topped off, Complete -- 62.6X",Complete,,,,,,,,,,,,,UCSC,6/2/21,Complete,Complete,UCSC,6/3/2021,9/15/21,,,,,,WashU,,,
82,HG02683,PK16,female,PJL,SAS,YR2,Pellets Banked (3/3/21),Completed (4/17/21),Completed (5/19/21),Pellets Banked (3/3/21),UW,6/3/21,"Topped off, Complete -- 63.3X",Complete,,,,,,,,,,,,,UCSC,8/5/21,Complete,Complete,UCSC,6/3/2021,9/15/21,,,,,,WashU,,,
83,HG02300,PEL52,female,PEL,AMR,YR2,Pellets Banked (3/3/21),Completed (4/17/21),Completed (5/19/21),Pellets Banked (3/3/21),UW,6/3/21,"Topped off, Complete -- 63.2X",Complete,,,,,,,,,,,,,UCSC,6/2/21,Complete,Complete,UCSC,6/3/2021,9/15/21,,,,,,WashU,,,
84,HG02738,PK27,male,PJL,SAS,YR2,Pellets Banked (3/3/21),Completed (4/17/21),Completed (5/19/21),Pellets Banked (3/3/21),UW,6/3/21,"Topped off, Complete -- 66.6X",Complete,,,,,,,,,,,,,UCSC,6/2/21,Complete,Complete,UCSC,6/3/2021,9/15/21,,,,,,WashU,,,
85,HG01884,BB03,female,ACB,AFR,YR2,Pellets Banked (3/3/21),Completed (4/5/21),Completed (5/19/21),Pellets Banked (3/3/21),UW,6/3/21,"Topped off, Complete -- 60.4X",Complete,,,,,,,,,,,,,UCSC,6/2/21,Complete,Complete,UCSC,6/3/2021,10/26/21,,,,,,WashU,,,
86,HG01496,CLM64,female,CLM,AMR,YR2,Pellets Banked (3/3/21),Completed (4/17/21),Completed (5/19/21),Pellets Banked (3/3/21),WashU,6/3/21,Complete -- 63X,Complete,,,,,,,,,,,,,UCSC,6/2/21,Complete,Complete,UCSC,6/3/2021,9/15/21,,,,,,WashU,,,
87,HG02773,GB58,male,GWD,AFR,Fail Karyo,Pellets Banked (3/3/21),Completed (4/17/21),Completed (5/19/21),Pellets Banked (3/3/21),,,fail karyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,HG00609,SH062,male,CHS,EAS,YR2,Pellets Banked (3/3/21),Completed (4/16/21),Completed (5/19/21),Pellets Banked (3/3/21),WashU,6/3/21,Complete -- 69.0X,Complete,,,,,,,,,,,,,UCSC,6/2/21,Complete,Complete,UCSC,6/3/2021,9/15/21,,,,,,WashU,,,
89,HG01981,PEL27,female,PEL,AMR,YR2,Pellets Banked (3/3/21),Completed (4/5/21),Completed (5/19/21),Pellets Banked (3/3/21),WashU,6/3/21,Complete -- 63.1X,Complete,,,,,,,,,,,,,UCSC,8/11/21,Complete,Complete,UCSC,6/3/2021,10/26/21,,,,,,WashU,,,
90,HG02004,PEL33,female,PEL,AMR,YR2,Pellets Banked (3/3/21),Completed (4/5/21),Completed (5/19/21),Pellets Banked (3/3/21),WashU,6/3/21,Complete -- 64.4X,Complete,,,,,,,,,,,,,UCSC,8/5/21,Complete,Complete,UCSC,6/3/2021,9/15/21,,,,,,WashU,,,
91,HG02280,BB23,female,ACB,AFR,YR2,Pellets Banked (3/9/21),Completed (4/25/21),Completed (4/12/21),Pellets Banked (3/9/21),WashU,6/3/21,Complete -- 71.0X,Complete,,,,,,,,,,,,,UCSC,6/2/21,Complete,Complete,UCSC,6/3/2021,10/26/21,,,,,,WashU,,,
92,HG01099,PR31,male,PUR,AMR,YR2,Pellets Banked (3/9/21),Completed (4/17/21),Completed (4/12/21),Pellets Banked (3/9/21),WashU,6/3/21,Complete -- 64.3X,Complete,,,,,,,,,,,,,UCSC,6/2/21,Complete,Complete,UCSC,6/3/2021,10/26/21,,,,,,WashU,,,
93,HG02809,GB63,female,GWD,AFR,YR2,Pellets Banked (3/9/21),Completed (5/9/21),Completed (4/12/21),Pellets Banked (3/9/21),WashU,6/3/21,Complete -- 72.9X*,Complete,,,,,,,,,,,,,UCSC,6/2/21,Complete,Complete,UCSC,6/3/2021,10/26/21,,,,,,WashU,,,
94,HG02077,VN067,male,KHV,EAS,Fail Karyo,Pellets Banked (3/9/21),Completed (4/25/21),Completed (4/12/21),Pellets Banked (3/9/21),,,fail karyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,HG01943,PEL016,male,PEL,AMR,YR2,Pellets Banked (3/9/21),Completed (4/25/21),Completed (4/12/21),Pellets Banked (3/9/21),WashU,6/3/21,Complete -- 67.0X,Complete,,,,,,,,,,,,,UCSC,6/2/21,Complete,Complete,UCSC,6/3/2021,10/26/21,,,,,,WashU,,,
96,HG02293,PEL51,female,PEL,AMR,YR2,Pellets Banked (3/9/21),Completed (5/3/21),Completed (4/12/21),Pellets Banked (3/9/21),UW,6/3/21,"Topped off, Complete -- 62.1X",Complete,,,,,,,,,,,,,UCSC,6/2/21,Complete,Complete,UCSC,6/3/2021,10/26/21,,,,,,WashU,,,
97,HG01397,PR71,female,PUR,AMR,no Broad Illumina,,,,,,,no Broad Illumina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,HG03704,PK60,female,PJL,SAS,YR3,Pellets Banked (3/9/21),Completed (5/15/21),Completed (4/12/21),Pellets Banked (3/9/21),UW,6/3/21,"Topped off, Complete -- 57.4X",,,,,,,,,,,,,,UCSC,6/2/21,Complete,Complete,UCSC,6/3/2021,Sent to Illumina 2/16/22,,,,,,WashU,,,
99,HG02735,PK26,male,PJL,SAS,YR3,Pellets Banked (3/9/21),Completed (5/6/21),Completed (4/12/21),Pellets Banked (3/9/21),UW,6/3/21,"Topped off, Complete -- 64.7X",,,,,,,,,,,,,,UCSC,6/2/21,Complete,Complete,UCSC,6/3/2021,Sent to Illumina 2/16/22,,,,,,WashU,,,
100,HG03909,BD31,male,BEB,SAS,Fail Karyo,Pellets Banked (3/9/21),Completed (5/9/21),Completed (4/12/21),Pellets Banked (3/9/21),,,fail karyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,HG02451,BB46,female,ACB,AFR,YR3,Pellets Banked (3/9/21),Completed (5/3/21),Completed (4/12/21),Pellets Banked (3/9/21),UW,6/3/21,"Topped off, Complete -- 63.5X",,,,,,,,,,,,,,UCSC,6/2/21,Complete,Complete,UCSC,6/3/2021,Sent to Illumina 2/16/22,,,,,,WashU,,,
102,HG01934,PEL013,male,PEL,AMR,YR2,Pellets Banked (3/16/21),Completed (5/21/21),Completed (4/23/21),Pellets Banked (3/16/21),WashU,6/24/21,Complete -- 78.0X*,Complete,,,,,,,,,,,,,UCSC,6/23/21,Complete,Complete,UCSC,6/3/2021,Sent to Illumina 2/16/22,,,,,,WashU,,,
103,HG00597,SH058,female,CHS,EAS,YR3,Pellets Banked (3/16/21),Completed (5/15/21),Completed (4/23/21),Pellets Banked (3/16/21),WashU,6/24/21,Complete -- 66.3X,,,,,,,,,,,,,,UCSC,6/23/21,Complete,Complete,UCSC,6/24/21,Sent to Illumina 4/20/22,,,,,,WashU,,,
104,HG02015,VN046,male,KHV,EAS,YR3,Pellets Banked (3/16/21),Completed (6/9/21),Completed (4/23/21),Pellets Banked (3/16/21),WashU,6/24/21,Complete -- 57.5X,,,,,,,,,,,,,,UCSC,7/14/21,Complete,Complete,UCSC,6/24/21,Sent to Illumina 2/16/22,,,,,,WashU,,,
105,HG01261,CLM17,male,CLM,AMR,YR3,Pellets Banked (3/16/21),Completed (5/21/21),Completed (4/23/21),Pellets Banked (3/16/21),WashU,6/24/21,Complete -- 68.8X,,,,,,,,,,,,,,UCSC,6/23/21,Complete,Complete,UCSC,6/24/21,Sent to Illumina 4/20/22,,,,,,WashU,,,
106,HG01975,PEL25,female,PEL,AMR,YR3,Pellets Banked (3/16/21),Completed (6/1/21),Completed (4/23/21),Pellets Banked (3/16/21),WashU,6/24/21,Complete -- 62.8X,,,,,,,,,,,,,,UCSC,6/23/21,Complete,Complete,UCSC,6/24/21,Sent to Illumina 2/16/22,,,,,,WashU,,,
107,HG00408,SH002,female,CHS,EAS,YR3,Pellets Banked (3/16/21),Completed (5/15/21),Completed (4/23/21),Pellets Banked (3/16/21),WashU,6/24/21,Complete -- 63.3X,,,,,,,,,,,,,,UCSC,6/23/21,Complete,Complete,UCSC,6/24/21,Sent to Illumina 2/16/22,,,,,,WashU,,,
108,HG01445,CLM47,male,CLM,AMR,no Broad Illumina,,,,,,,no Broad Illumina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,HG01411,PR63,male,PUR,AMR,no Broad Illumina,,,,,,,no Broad Illumina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,HG01355,CLM30,female,CLM,AMR,Fail Karyo,Pellets Banked (3/16/21),Completed (5/31/21),Completed (4/23/21),Pellets Banked (3/16/21),,,fail karyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,HG02056,VN060,male,KHV,EAS,YR3,Pellets Banked (3/23/21),Completed (6/18/21),Completed (5/19/21),Pellets Banked (3/23/21),WashU,7/8/21,Complete -- 65.6X,,,,,,,,,,,,,,UCSC,7/7/21,Complete,Complete,UCSC,7/8/2021,Sent to Illumina 2/16/22,,,,,,WashU,,,
115,HG01192,PR40,male,PUR,AMR,YR3,Pellets Banked (3/23/21),Completed (6/18/21),Completed (5/19/21),Pellets Banked (3/23/21),WashU,7/8/21,Complete -- 69.0X,,,,,,,,,,,,,,UCSC,7/7/21,Complete,Complete,UCSC,7/8/2021,Sent to Illumina 4/20/22,,,,,,WashU,,,
116,HG01394,PR70,female,PUR,AMR,no Broad Illumina,,,,,,,no Broad Illumina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,HG03834,BD28,female,BEB,SAS,YR3,Pellets Banked (3/23/21),Completed (6/18/21),Completed (5/19/21),Pellets Banked (3/23/21),WashU,7/8/21,Complete -- 68.8X,,,,,,,,,,,,,,UCSC,7/7/21,Complete,Needs Base Calling,UCSC,7/8/2021,Sent to Illumina 2/16/22,,,,,,WashU,,,
118,HG02258,BB22,male,ACB,AFR,YR3,Pellets Banked (3/23/21),Completed (6/18/21),Completed (5/19/21),Pellets Banked (3/23/21),WashU,7/8/21,Complete -- 62.6X,,,,,,,,,,,,,,UCSC,7/7/21,Complete,Needs Base Calling,UCSC,7/8/2021,Sent to Illumina 2/16/22,,,,,,WashU,,,
119,HG02129,VN079,male,KHV,EAS,YR3,Pellets Banked (3/23/21),Completed (6/18/21),Completed (5/19/21),Pellets Banked (3/23/21),WashU,7/8/21,Complete -- 61.2X,,,,,,,,,,,,,,UCSC,7/7/21,Complete,Needs Base Calling,UCSC,7/8/2021,Sent to Illumina 2/16/22,,,,,,WashU,,,
120,HG01074,PR18,male,PUR,AMR,YR3,Pellets Banked (6/2/21),Completed (6/19/21),Completed (7/15/21),Pellets Banked (6/2/21),UW,8/5/21,"Topped off, Complete -- 64.1X",,,,,,,,,,,,,,UCSC,8/5/21,Complete,Needs Base Calling,UCSC,7/8/2021,Sent to Illumina 2/16/22,,,,,,WashU,,,
121,HG03041,GB110,female,GWD,AFR,YR3,Pellets Banked (6/2/21),Completed (7/10/21),Completed (7/15/21),Pellets Banked (6/2/21),UW,8/5/21,"Topped off, Complete -- 59.3X",,,,,,,,,,,,,,UCSC,8/5/21,Complete,Needs Base Calling,UCSC,8/5/21,Sent to Illumina 2/16/22,,,,,,WashU,,,
122,HG00639,PR03,female,PUR,AMR,YR3,Pellets Banked (6/2/21),Completed (6/19/21),Completed (7/15/21),Pellets Banked (6/2/21),UW,8/5/21,"Topped off, Complete -- 64.1X",,,,,,,,,,,,,,UCSC,8/5/21,Complete,Needs Base Calling,UCSC,8/5/21,Sent to Illumina 4/20/22,,,,,,WashU,,,
123,HG01081,PR21,female,PUR,AMR,YR3,Pellets Banked (6/2/21),Completed (6/29/21),Completed (7/15/21),Pellets Banked (6/2/21),UW,8/5/21,"Topped off, Complete -- 60.7X",,,,,,,,,,,,,,UCSC,8/5/21,Complete,Needs Base Calling,UCSC,8/5/21,Sent to Illumina 4/20/22,,,,,,WashU,,,
124,HG03239,PK41,female,PJL,SAS,YR3,Pellets Banked (6/2/21),Completed (7/12/21),Completed (7/15/21),Pellets Banked (6/2/21),UW,8/5/21,"Topped off, Complete -- 60.6X",,,,,,,,,,,,,,UCSC,8/5/21,Complete,Needs Base Calling,UCSC,8/5/21,Sent to Illumina 2/16/22,,,,,,WashU,,,
125,HG03017,PK35,male,PJL,SAS,YR3,Pellets Banked (6/2/21),Completed (7/10/21),Completed (7/15/21),Pellets Banked (6/2/21),UW,8/5/21,"Topped off, Complete -- 61.6X",,,,,,,,,,,,,,UCSC,8/5/21,Complete,Needs Base Calling,UCSC,8/5/21,Sent to Illumina 2/16/22,,,,,,WashU,,,
109,HG01960,BB11,female,ACB,AFR,YR3,Pellets Banked (3/16/21),Completed (6/1/21),Completed (4/23/21),Pellets Banked (3/16/21),RU,6/24/21,"Topped off, Est. Complete = 59X",,,,,,,,,,,,,,UCSC,6/23/21,Complete,Needs Base Calling,UCSC,6/24/21,Sent to Illumina 2/16/22,,,,,,WashU,,,
111,HG02841,GB74,female,GWD,AFR,YR3,Pellets Banked (3/16/21),Completed (6/9/21),Completed (4/23/21),Pellets Banked (3/16/21),RU,6/24/21,"Topped off, Est. Complete = 68X",,,,,,,,,,,,,,UCSC,6/23/21,Complete,Needs Base Calling,UCSC,6/24/21,Sent to Illumina 2/16/22,,,,,,WashU,,,
113,HG02984,GB97,male,GWD,AFR,YR3,Pellets Banked (3/16/21),Completed (6/9/21),Completed (4/23/21),Pellets Banked (3/16/21),RU,6/24/21,"Topped off, Est. Complete = 63X",,,,,,,,,,,,,,UCSC,6/23/21,Complete,Needs Base Calling,UCSC,6/24/21,Sent to Illumina 2/16/22,,,,,,WashU,,,
127,HG03050,GB113,male,GWD,AFR,YR3,Pellets Banked (6/2/21),Completed (7/10/21),Completed (7/15/21),Pellets Banked (6/2/21),RU,8/5/21,"Topped off, Est. Complete = 60X",,,,,,,,,,,,,,UCSC,8/5/21,Complete,Needs Base Calling,UCSC,8/5/21,Sent to Illumina 2/16/22,,,,,,WashU,,,
128,HG01940,PEL015,female,PEL,AMR,YR3,Pellets Banked (6/2/21),Completed (7/5/21),Completed (7/15/21),Pellets Banked (6/2/21),RU,8/5/21,Complete -- 61X,,,,,,,,,,,,,,UCSC,8/5/21,Complete,Needs Base Calling,UCSC,8/5/21,Sent to Illumina 2/16/22,,,,,,WashU,,,
129,HG02514,VN087,male,KHV,EAS,YR3,Pellets Banked (6/2/21),Completed (7/5/21),Completed (7/15/21),Pellets Banked (6/2/21),RU,8/5/21,Complete -- 60x,,,,,,,,,,,,,,UCSC,8/5/21,Complete,Needs Base Calling,UCSC,8/5/21,Sent to Illumina 2/16/22,,,,,,WashU,,,
130,HG00658,SH074,male,CHS,EAS,YR3,Pellets Banked (6/2/21),Completed (6/18/21),Completed (7/15/21),Pellets Banked (6/2/21),RU,8/5/21,"Topped off, Est. Complete = 68X",,,,,,,,,,,,,,UCSC,8/5/21,Complete,Needs Base Calling,UCSC,8/5/21,Sent to Illumina 2/16/22,,,,,,WashU,,,
133,HG01150,CLM12,female,CLM,AMR,YR3,Pellets Banked (6/2/21),Completed (7/5/21),Completed (7/15/21),Pellets Banked (6/2/21),RU,8/5/21,"Topped off, Est. Complete = 60X",,,,,,,,,,,,,,UCSC,8/5/21,Complete,Needs Base Calling,UCSC,8/5/21,Sent to Illumina 2/16/22,,,,,,WashU,,,
134,HG01969,PEL023,female,PEL,AMR,YR3,Pellets Banked (6/2/21),Completed (7/5/21),Completed (7/15/21),Pellets Banked (6/2/21),RU,8/5/21,Complete -- 65x,,,,,,,,,,,,,,UCSC,8/5/21,Complete,Needs Base Calling,UCSC,8/5/21,Sent to Illumina 4/20/22,,,,,,WashU,,,
136,HG01252,CLM14,male,CLM,AMR,YR3,Pellets Banked (10/21/21),Completed (11/7/21),Completed (12/2/21),Pellets Banked (10/21/21),RU,12/1/21,"Topped off, Est. Complete = 60X",,,,,,,,,,,,,,UCSC,11/30/21,Complete,Needs Base Calling,UCSC,12/1/21,Sent to Illumina 4/20/22,,,,,,WashU,,,
126,HG01141,CLM09,female,CLM,AMR,Fail Karyo,Pellets Banked (6/2/21),Completed (7/5/21),Completed (7/15/21),Pellets Banked (6/2/21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,HG04142,BD47,female,BEB,SAS,Fail Karyo,Pellets Banked (6/2/21),Completed (7/11/21),Completed (7/15/21),Pellets Banked (6/2/21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,HG02815,GB65,male,GWD,AFR,Fail Karyo,Pellets Banked (6/2/21),Completed (7/9/21),Completed (7/15/21),Pellets Banked (6/2/21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,HG00558,SH045,female,CHS,EAS,YR3,Pellets Banked (10/21/21),Completed (11/7/21),Completed (12/2/21),Pellets Banked (10/21/21),UW,12/1/21,"Topped off, Complete -- 63X",,,,,,,,,,,,,,UCSC,11/30/21,Complete,Needs Base Calling,UCSC,12/1/21,Sent to Illumina 2/16/22,,,,,,WashU,,,
137,HG02273,PEL46,female,PEL,AMR,YR3,Pellets Banked (10/21/21),Completed (11/7/21),Completed (12/2/21),Pellets Banked (10/21/21),WashU,3/31/22,Complete -- 56.9X,,,,,,,,,,,,,,UCSC,3/30/22,Complete,Needs Base Calling,UCSC,3/31/22,Sent to Illumina 090922,,,,,,WashU,,,
138,HG00594,SH057,male,CHS,EAS,Fail Karyo,Pellets Banked (10/21/21),Completed (11/10/21),Completed (12/2/21),Pellets Banked (10/21/21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,HG02689,PK18,male,PJL,SAS,Skip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,HG02838,GB73,male,GWD,AFR,Skip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,HG02889,GB90,female,GWD,AFR,Skip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,HG02856,GB79,male,GWD,AFR,Skip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,HG01135,CLM07,male,CLM,AMR,Skip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,HG01385,CLM40,female,CLM,AMR,Skip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,HG01922,PEL009,female,PEL,AMR,Skip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,HG01949,PEL018,female,PEL,AMR,Skip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,HG01249,PR34,female,PUR,AMR,Skip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,HG00453,SH017,female,CHS,EAS,do not ship to production centers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,HG00700,SH088,female,CHS,EAS,do not ship to production centers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,HG00405,SH001,female,CHS,EAS,do not ship to production centers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,HG02030,VN051,male,KHV,EAS,Skip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,HG03626,PK46,female,PJL,SAS,Skip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,HG02701,PK22,male,PJL,SAS,Skip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,HG03707,PK61,male,PJL,SAS,Skip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,HG03225,NaN,male,MSL,AFR,YR3,Pellets Banked (3/1/22),Completed (3/20/22),Completed (4/21/22),Pellets Banked (3/1/22),WashU,3/31/22,"Complete, 60.5X??",,,,,,,,,,,,,,UCSC,3/30/22,Complete,Needs Base Calling,UCSC,3/31/22,Sent to Illumina 081722,,,,,,WashU,,,
156,HG02965,NG20,male,ESN,AFR,YR3,Pellets Banked (3/1/22),Completed (3/20/22),Completed (4/21/22),Pellets Banked (3/1/22),WashU,3/31/22,Complete -- 64.6X,,,,,,,,,,,,,,UCSC,3/30/22,Complete,Needs Base Calling,UCSC,3/31/22,Sent to Illumina 081722,,,,,,WashU,,,
157,GM19454,NaN,male,LWK,AFR,Fail Karyo,Pellets Banked (3/1/22),Completed (11/10/21),Completed (4/21/22),Pellets Banked (3/1/22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,HG02976,NG24,female,ESN,AFR,YR3,Pellets Banked (3/1/22),Completed (3/20/22),Completed (4/21/22),Pellets Banked (3/1/22),WashU,3/31/22,"Complete, 62.4X",,,,,,,,,,,,,,UCSC,3/30/22,Complete,Needs Base Calling,UCSC,3/31/22,Sent to Illumina 090922,,,,,,WashU,,,
159,HG03195,NG58,female,ESN,AFR,YR3,Pellets Banked (3/1/22),Completed (3/20/22),Completed (4/21/22),Pellets Banked (3/1/22),WashU,3/31/22,"Complete, 66.4X",,,,,,,,,,,,,,UCSC,3/30/22,Complete,Needs Base Calling,UCSC,3/31/22,Sent to Illumina 090922,,,,,,WashU,,,
160,HG03139,NaN,male,ESN,AFR,YR3,Pellets Banked (3/15/22),Completed (4/15/22),Completed (4/21/22),Pellets Banked (3/15/22),UW,4/21/22,"Topped off, Complete -- 61.5X",,,,,,,,,,,,,,UCSC,4/21/22,Complete,Needs Base Calling,UCSC,4/22/22,Sent to Illumina 081722,,,,,,WashU,,,
161,HG03130,NG36,male,ESN,AFR,YR3,Pellets Banked (3/15/22),Completed (4/11/22),Completed (4/21/22),Pellets Banked (3/15/22),UW,4/21/22,"Topped off, Complete -- 64.1X",,,,,,,,,,,,,,UCSC,4/21/22,Complete,Needs Base Calling,UCSC,4/22/22,Sent to Illumina 081722,,,,,,WashU,,,
162,NA18934,Y036,male,YRI,AFR,Fail Karyo,Pellets Banked (3/15/22),Completed (4/15/22),Completed (4/21/22),Pellets Banked (3/15/22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,HG03209,NaN,male,MSL,AFR,YR3,Pellets Banked (3/15/22),Completed (4/15/22),Completed (4/21/22),Pellets Banked (3/15/22),UW,4/21/22,"Topped off, Complete -- 63X",,,,,,,,,,,,,,UCSC,4/21/22,Complete,Needs Base Calling,UCSC,4/22/22,Sent to Illumina 081722,,,,,,WashU,,,
164,NA18522,Y016,male,YRI,AFR,YR3,Pellets Banked (3/15/22),Completed (4/15/22),Completed (4/21/22),Pellets Banked (3/15/22),UW,4/21/22,"Topped off, Complete -- 66.8X",,,,,,,,,,,,,,UCSC,4/21/22,Complete,Needs Base Calling,UCSC,4/22/22,Sent to Illumina 081722,,,,,,WashU,,,
165,NA19338,NaN,female,LWK,AFR,YR3,Pellets Banked (4/5/22),Completed (5/10/22),Completed (6/6/22),Pellets Banked (4/5/22),RU,5/12/22,"Topped off, Complete -- 63X",,,,,,,,,,,,,,UCSC,5/12/22,Complete,Needs Base Calling,UCSC,5/12/22,Sent to Illumina 081722,,,,,,WashU,,,
166,NA19391,NaN,female,LWK,AFR,YR3,Pellets Banked (3/30/22),Completed (5/10/22),Completed (6/6/22),Pellets Banked (3/30/22),RU,5/12/22,"Topped off, Complete -- 65X",,,,,,,,,,,,,,UCSC,5/12/22,Complete,Needs Base Calling,UCSC,5/12/22,Sent to Illumina 081722,,,,,,WashU,,,
167,NA19468,NaN,female,LWK,AFR,YR3,Pellets Banked (3/30/22),Completed (5/10/22),Completed (6/6/22),Pellets Banked (3/30/22),RU,5/12/22,"Topped off, Complete -- 60X",,,,,,,,,,,,,,UCSC,5/12/22,Complete,Needs Base Calling,UCSC,5/12/22,Sent to Illumina 081722,,,,,,WashU,,,
168,HG03470,SL56,female,MSL,AFR,YR3,Pellets Banked (3/30/22),Completed (5/10/22),Completed (6/6/22),Pellets Banked (3/30/22),RU,5/12/22,"Topped off, Est. Complete = 68X",,,,,,,,,,,,,,UCSC,5/12/22,Complete,Needs Base Calling,UCSC,5/12/22,Sent to Illumina 081722,,,,,,WashU,,,
