sample_id,included in cyto data table,biosample_id,population_descriptor,population_abbreviation,trio_available,family_id,paternal_id,maternal_id,sex,tissue,collection,alternative_id,notes,project,contributing_institution
HG01940,TRUE,SAMN37797101,"Peruvian in Lima, Peru",PEL,TRUE,PEL015,HG01938,HG01939,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG01071,TRUE,SAMN17861657,Puerto Rican in Puerto Rico,PUR,TRUE,PR17,HG01069,HG01070,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG00735,TRUE,SAMN17861655,Puerto Rican in Puerto Rico,PUR,TRUE,PR06,HG01047,HG00734,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG00741,TRUE,SAMN17861656,Puerto Rican in Puerto Rico,PUR,TRUE,PR09,HG00739,HG00740,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG01175,TRUE,SAMN17861659,Puerto Rican in Puerto Rico,PUR,TRUE,PR36,HG01173,HG01174,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG01106,TRUE,SAMN17861658,Puerto Rican in Puerto Rico,PUR,TRUE,PR25,HG01104,HG01105,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG00642,TRUE,SAMN26267378,Puerto Rican in Puerto Rico,PUR,TRUE,PR04,HG00640,HG00641,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG00738,TRUE,SAMN26237493,Puerto Rican in Puerto Rico,PUR,TRUE,PR07,HG00736,HG00737,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG01099,TRUE,SAMN26237494,Puerto Rican in Puerto Rico,PUR,TRUE,PR31,HG01097,HG01098,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG01074,TRUE,SAMN33758782,Puerto Rican in Puerto Rico,PUR,TRUE,PR18,HG01072,HG01073,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG01192,TRUE,SAMN33621945,Puerto Rican in Puerto Rico,PUR,TRUE,PR40,HG01190,HG01191,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG00639,TRUE,SAMN33758781,Puerto Rican in Puerto Rico,PUR,TRUE,PR03,HG00637,HG00638,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG01081,TRUE,SAMN33758783,Puerto Rican in Puerto Rico,PUR,TRUE,PR21,HG01079,HG01080,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG01167,TRUE,SAMN41021679,Puerto Rican in Puerto Rico,PUR,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02738,TRUE,SAMN26267396,"Punjabi in Lahore, Pakistan",PJL,TRUE,PK27,HG02736,HG02737,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG03669,TRUE,SAMN26237512,"Punjabi in Lahore, Pakistan",PJL,TRUE,PK58,HG03667,HG03668,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG02698,TRUE,SAMN26237509,"Punjabi in Lahore, Pakistan",PJL,TRUE,PK21,HG02696,HG02697,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG03654,TRUE,SAMN26237511,"Punjabi in Lahore, Pakistan",PJL,TRUE,PK53,HG03652,HG03653,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02602,TRUE,SAMN26237507,"Punjabi in Lahore, Pakistan",PJL,TRUE,PK09,HG02600,HG02601,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG03710,TRUE,SAMN26237513,"Punjabi in Lahore, Pakistan",PJL,TRUE,PK62,HG03708,HG03709,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02735,TRUE,SAMN33758787,"Punjabi in Lahore, Pakistan",PJL,TRUE,PK26,HG02733,HG02734,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG03704,TRUE,SAMN33758795,"Punjabi in Lahore, Pakistan",PJL,TRUE,PK60,HG03702,HG03703,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG03239,TRUE,SAMN33758794,"Punjabi in Lahore, Pakistan",PJL,TRUE,PK41,HG03237,HG03238,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG03017,TRUE,SAMN33758789,"Punjabi in Lahore, Pakistan",PJL,TRUE,PK35,HG03015,HG03016,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG04115,TRUE,SAMN26267388,Sri Lankan Tamil in the UK,STU,TRUE,ST111,HG03896,HG03894,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG04204,TRUE,SAMN26267390,Sri Lankan Tamil in the UK,STU,TRUE,ST006,HG03679,HG03642,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG03688,TRUE,SAMN26267385,Sri Lankan Tamil in the UK,STU,TRUE,ST016,HG03885,HG03886,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG04199,TRUE,SAMN26267389,Sri Lankan Tamil in the UK,STU,TRUE,ST203,HG04100,HG04099,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG04228,TRUE,SAMN26267391,Sri Lankan Tamil in the UK,STU,TRUE,ST232,HG04229,HG04227,male,B-Lymphocyte,1000G,,,HPRC,NIH
NA20799,TRUE,SAMN37797094,Toscani in Italia,TSI,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
NA20752,TRUE,SAMN33758800,Toscani in Italia,TSI,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
NA20805,TRUE,SAMN33621962,Toscani in Italia,TSI,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
NA20809,TRUE,SAMN41021671,Toscani in Italia,TSI,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
NA18522,TRUE,SAMN33758796,"Yoruba in Ibadan, Nigeria",YRI,FALSE,Y016,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
NA19159,TRUE,SAMN37797089,"Yoruba in Ibadan, Nigeria",YRI,FALSE,Y056,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
NA19185,TRUE,SAMN37797090,"Yoruba in Ibadan, Nigeria",YRI,FALSE,Y039,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
NA18879,TRUE,SAMN41021661,"Yoruba in Ibadan, Nigeria",YRI,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
NA18508,TRUE,SAMN41021626,"Yoruba in Ibadan, Nigeria",YRI,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
NA18505,TRUE,SAMN41021643,"Yoruba in Ibadan, Nigeria",YRI,FALSE,Y005,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
NA20129,FALSE,SAMN13207712,African Ancestry in Southwest USA,ASW,TRUE,,NA19920,NA19921,female,B-Lymphocyte,1000G,,,HPRC_PLUS,NIH
HG02055,FALSE,SAMN12162856,African Caribbean in Barbados,ACB,TRUE,,HG02053,HG02054,male,B-Lymphocyte,1000G,,,HPRC_PLUS,NIH
HG02145,FALSE,SAMN13961514,African Caribbean in Barbados,ACB,TRUE,,HG02143,HG02144,male,B-Lymphocyte,1000G,,,HPRC_PLUS,NIH
HG02109,FALSE,SAMN13958415,African Caribbean in Barbados,ACB,TRUE,,HG02107,HG02108,female,B-Lymphocyte,1000G,,,HPRC_PLUS,NIH
HG02723,FALSE,SAMN13958364,Gambian in Western Division Ð Mandinka,GWD,TRUE,,HG02721,HG02722,female,B-Lymphocyte,1000G,,,HPRC_PLUS,NIH
HG02818,FALSE,SAMN05603745,Gambian in Western Division Ð Mandinka,GWD,TRUE,,HG02816,HG02817,female,B-Lymphocyte,1000G,,,HPRC_PLUS,NIH
HG02080,FALSE,SAMN13957942,"Kinh in Ho Chi Minh City, Vietnam",KHV,TRUE,,HG02082,HG02081,female,B-Lymphocyte,1000G,,,HPRC_PLUS,NIH
NA21309,FALSE,SAMN11308573,"Maasai in Kinyawa, Kenya",MKK,TRUE,,NA21307,NA21308,female,B-Lymphocyte,HapMap,,,HPRC_PLUS,NIH
HG03486,FALSE,SAMN08723473,Mende in Sierra Leone,MSL,TRUE,,HG03484,HG03485,female,B-Lymphocyte,1000G,,,HPRC_PLUS,NIH
HG03098,FALSE,SAMN13957944,Mende in Sierra Leone,MSL,TRUE,,HG03096,HG03097,male,B-Lymphocyte,1000G,,,HPRC_PLUS,NIH
HG01243,FALSE,SAMN13957917,Puerto Rican in Puerto Rico,PUR,TRUE,,HG01241,HG01242,male,B-Lymphocyte,1000G,,,HPRC_PLUS,NIH
HG01109,FALSE,SAMN12162846,Puerto Rican in Puerto Rico,PUR,TRUE,,HG01107,HG01108,male,B-Lymphocyte,1000G,,,HPRC_PLUS,NIH
HG00733,FALSE,SAMN00006581,Puerto Rican in Puerto Rico,PUR,TRUE,,HG00731,HG00732,female,B-Lymphocyte,1000G,,,HPRC_PLUS,NIH
NA19240,FALSE,SAMN03838746,"Yoruba in Ibadan, Nigeria",YRI,TRUE,,NA19239,NA19238,female,B-Lymphocyte,1000G,,,HPRC_PLUS,NIH
NA18906,FALSE,SAMN13957875,"Yoruba in Ibadan, Nigeria",YRI,TRUE,,NA18877,NA18876,female,B-Lymphocyte,1000G,,,HPRC_PLUS,NIH
